subj	mode	order	scenario	concept	first	Yp	Yn	age	gender	race
  71	je	4	linebacker	hs	pos	 6	3	22	Male	white
  72	se	4	driver		ivd	neg	 6	6	36	Male	white
  72	se	5	fire		hs	neg	 7	7	36	Male	white
  72	se	1	linebacker	ident	pos	 6	6	36	Male	white
  72	se	2	construct	cc	pos	 2	2	36	Male	white
  72	se	3	train		ml	pos	 2	3	36	Male	white
  73	je	1	construct	hs	neg	 4	7	24	Male	white
  73	je	2	driver		cc	neg	 1	4	24	Male	white
  73	je	4	train		ml	neg	 1	1	24	Male	white
  73	je	3	fire		ivd	pos	 7	7	24	Male	white
  73	je	5	linebacker	ident	pos	 6	1	24	Male	white
  74	se	1	driver		cc	neg	 4	5	66	Male	white
  74	se	3	linebacker	hs	neg	 5	5	66	Male	white
  74	se	4	train		ml	neg	 4	4	66	Male	white
  74	se	2	fire		ivd	pos	 7	7	66	Male	white
  74	se	5	construct	ident	pos	 6	6	66	Male	white
  75	se	1	train		ident	neg	 3	4	23	Male	white
  75	se	2	construct	cc	neg	 6	4	23	Male	white
  75	se	5	fire		ivd	neg	 6	3	23	Male	white
  75	se	3	driver		ml	pos	 4	6	23	Male	white
  75	se	4	linebacker	hs	pos	 5	7	23	Male	white
  76	se	1	linebacker	ident	neg	 7	6	32	Male	latino
  76	se	2	driver		ivd	neg	 6	7	32	Male	latino
  76	se	3	train		cc	neg	 2	3	32	Male	latino
  76	se	4	fire		ml	neg	 4	1	32	Male	latino
  76	se	5	construct	hs	pos	 7	7	32	Male	latino
  77	se	1	driver		cc	neg	 2	6	36	Female	white
  77	se	2	linebacker	ident	neg	 7	4	36	Female	white
  77	se	4	construct	ivd	neg	 7	7	36	Female	white
  77	se	5	train		hs	neg	 7	7	36	Female	white
  77	se	3	fire		ml	pos	 5	6	36	Female	white
  78	se	1	train		ml	neg	 1	1	30	Male	white
  78	se	4	construct	ident	neg	 7	6	30	Male	white
  78	se	5	driver		hs	neg	 7	7	30	Male	white
  78	se	2	linebacker	ivd	pos	 7	7	30	Male	white
  78	se	3	fire		cc	pos	 1	1	30	Male	white
